timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1715854829.475155 0.06990361 -0.04372133 -0.01160092 0.00017081 0.00304718 0.00002110
1715854829.541850 0.06990362 -0.04372134 -0.01160093 0.00013279 0.00372169 -0.00062629
1715854829.641891 0.06990364 -0.04372135 -0.01160093 0.00000746 0.00345257 -0.00009058
1715854829.708587 0.06990359 -0.04372132 -0.01160092 -0.00003964 0.00384052 -0.00065523
1715854829.775282 0.06990366 -0.04372136 -0.01160094 -0.00113363 0.00321582 -0.00019994
1715854829.841978 0.06990371 -0.04372139 -0.01160095 0.00003357 0.00343737 -0.00065232
1715854829.908674 0.06990371 -0.04372139 -0.01160095 -0.00053752 0.00313011 0.00002887
1715854829.975370 0.06990368 -0.04372137 -0.01160095 -0.00022396 0.00365378 -0.00038034
1715854830.042067 0.06990368 -0.04372137 -0.01160095 0.00005460 0.00405487 -0.00052577
1715854830.108762 0.06990367 -0.04372136 -0.01160094 -0.00055283 0.00359774 0.00002102
1715854830.175459 0.06990367 -0.04372137 -0.01160094 -0.00091656 0.00317270 -0.00014320
1715854830.242156 0.06990367 -0.04372137 -0.01160094 -0.00019728 0.00339941 -0.00068394
1715854830.342202 0.06990366 -0.04372136 -0.01160094 -0.00025690 0.00312415 -0.00034801
1715854830.408900 0.06990365 -0.04372135 -0.01160094 0.00033858 0.00317076 -0.00040172
1715854830.475590 0.06990366 -0.04372136 -0.01160094 -0.00004459 0.00326945 -0.00037391
1715854830.542273 0.06990366 -0.04372136 -0.01160094 -0.00024506 0.00331142 -0.00001672
1715854830.608956 0.06990366 -0.04372136 -0.01160094 -0.00010565 0.00394180 -0.00078882
1715854830.675639 0.06990366 -0.04372136 -0.01160094 -0.00038497 0.00377567 -0.00030830
1715854830.742322 0.06990366 -0.04372136 -0.01160094 -0.00013829 0.00314709 -0.00003447
1715854830.809005 0.06990366 -0.04372136 -0.01160094 -0.00039887 0.00367286 -0.00028454
1715854830.875688 0.06990366 -0.04372136 -0.01160094 -0.00032331 0.00364211 -0.00009672
1715854830.942371 0.06990366 -0.04372136 -0.01160094 -0.00023647 0.00332718 -0.00024623
1715854831.009053 0.06990366 -0.04372136 -0.01160094 -0.00027818 0.00361963 -0.00008537
1715854831.075736 0.06990366 -0.04372136 -0.01160094 -0.00005548 0.00350595 0.00009927
1715854831.142419 0.06990366 -0.04372136 -0.01160094 0.00001796 0.00310720 -0.00022350
1715854831.209102 0.06990366 -0.04372136 -0.01160094 -0.00039300 0.00352506 -0.00032675
1715854831.275784 0.06990366 -0.04372136 -0.01160094 -0.00019515 0.00339223 -0.00003506
1715854831.342467 0.06990365 -0.04372136 -0.01160094 -0.00113496 0.00370767 0.00025323
1715854831.409150 0.06990371 -0.04372140 -0.01160095 0.00015161 0.00368606 -0.00077518
1715854831.475835 0.06990376 -0.04372143 -0.01160097 -0.00024348 0.00293550 0.00023083
1715854831.542526 0.06990370 -0.04372142 -0.01160096 -0.00000888 0.00362362 0.00012677
1715854831.609216 0.06990369 -0.04372143 -0.01160096 -0.00008997 0.00411724 -0.00077690
1715854831.675906 0.06990369 -0.04372143 -0.01160096 -0.00060571 0.00315397 -0.00001716
